ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11567283,JC117535,1/7/2019 15:00,0000X E OHIO ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1834,18,42,8,26,1176771,1904213,2019,1/18/2019 9:37,41.89250768,-87.62623869,"(41.892507682, -87.626238686)"
11567284,JC117467,1/15/2019 8:40,101XX S WALLACE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2232,22,9,73,08B,1174093,1837610,2019,1/23/2019 11:26,41.70980249,-87.63805236,"(41.709802487, -87.638052363)"
11567286,JC117519,1/15/2019 9:40,050XX W ADAMS ST,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,FALSE,TRUE,1533,15,28,25,04B,1142798,1898861,2019,1/23/2019 11:26,41.87852163,-87.75114181,"(41.878521632, -87.751141808)"
11567288,JC115262,1/13/2019 10:50,012XX N CENTRAL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,FALSE,2532,25,37,25,08B,1138781,1907689,2019,1/23/2019 16:13,41.9028206,-87.76567716,"(41.902820601, -87.765677163)"
11567289,JC117521,1/15/2019 9:22,122XX S HALSTED ST,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,TRUE,FALSE,524,5,34,53,26,1173211,1823603,2019,1/23/2019 11:26,41.67138459,-87.64169423,"(41.671384589, -87.641694233)"
11567292,JC117470,1/7/2019 9:00,010XX S STATE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,123,1,4,32,11,1176502,1895903,2019,1/18/2019 9:37,41.86971065,-87.62747761,"(41.869710651, -87.627477612)"
11567294,JC117549,1/14/2019 8:00,003XX W INSTITUTE PL,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1823,18,27,8,6,1173866,1905967,2019,1/23/2019 11:26,41.89738595,-87.63685517,"(41.897385953, -87.636855165)"
11567300,JC117539,1/15/2019 9:30,015XX S RIDGEWAY AVE,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,1014,10,24,29,08B,1151628,1892175,2019,1/23/2019 11:26,41.86000555,-87.71889534,"(41.860005552, -87.71889534)"
11567302,JC117580,1/15/2019 0:25,0000X E WACKER DR,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,FALSE,FALSE,111,1,42,32,11,1176956,1902517,2019,1/23/2019 11:26,41.88784959,-87.62561064,"(41.887849586, -87.625610638)"
11567303,JC117356,1/15/2019 6:23,070XX S GREEN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,733,7,6,68,08B,1171851,1858122,2019,1/23/2019 11:26,41.76613959,-87.64566266,"(41.76613959, -87.645662661)"
